ip,state,whois_country,whois_info,shodan_country,shodan_os,shodan_vulns,shodan_bluekeep,,scan patched,scan vulnerable,offline,
205.134.187.221,patched,US,AINETWEB-BLK187,US,,[u'CVE-2019-0708'],TRUE,,523,595,216,1334
107.21.240.66,vulnerable,US,AMAZON-EC2-8,US,,"[u'CVE-2008-1446', u'CVE-2009-2521', u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2009-3555', u'CVE-2008-0074', u'CVE-2010-1256']",TRUE,,,,,
104.208.221.96,offline,US,MSFT,US,,,FALSE,,both patched,both vulnerable,"offline, shodan vuln",
205.134.187.221,patched,US,AINETWEB-BLK187,US,,[u'CVE-2019-0708'],TRUE,,448,137,20,
107.21.240.66,vulnerable,US,AMAZON-EC2-8,US,,"[u'CVE-2008-1446', u'CVE-2009-2521', u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2009-3555', u'CVE-2008-0074', u'CVE-2010-1256']",TRUE,,,,,
70.184.71.102,patched,US,NETBLK-OC-CBS-70-184-64-0,US,,[u'CVE-2019-0708'],TRUE,,"shodan vuln, scan patched ","shodan safe, scan vuln","offline, shodan safe",
107.21.240.66,vulnerable,US,AMAZON-EC2-8,US,,"[u'CVE-2008-1446', u'CVE-2009-2521', u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2009-3555', u'CVE-2008-0074', u'CVE-2010-1256']",TRUE,,75,458,196,
130.156.111.26,vulnerable,US,NJEDGE-WARREN,US,,"[u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",TRUE,,,,,
205.134.187.221,patched,US,AINETWEB-BLK187,US,,[u'CVE-2019-0708'],TRUE,,,,,
107.148.154.182,offline,US,199-180-100-0-1,US,Windows Server 2008 R2 Standard 7601 Service Pack 1,"[u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",TRUE,,,,,
72.194.233.208,patched,US,NETBLK-OK-DSG-72-194-224-0,US,,"[u'CVE-2019-0708', u'CVE-2015-0204']",TRUE,,,,,
107.21.240.66,vulnerable,US,AMAZON-EC2-8,US,,"[u'CVE-2008-1446', u'CVE-2009-2521', u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2009-3555', u'CVE-2008-0074', u'CVE-2010-1256']",TRUE,,,,,
70.184.71.102,patched,US,NETBLK-OC-CBS-70-184-64-0,US,,[u'CVE-2019-0708'],TRUE,,,,,
107.21.240.66,vulnerable,US,AMAZON-EC2-8,US,,"[u'CVE-2008-1446', u'CVE-2009-2521', u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2009-3555', u'CVE-2008-0074', u'CVE-2010-1256']",TRUE,,,,,
130.156.111.26,vulnerable,US,NJEDGE-WARREN,US,,"[u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",TRUE,,,,,
205.134.187.221,patched,US,AINETWEB-BLK187,US,,[u'CVE-2019-0708'],TRUE,,,,,
107.148.154.182,offline,US,199-180-100-0-1,US,Windows Server 2008 R2 Standard 7601 Service Pack 1,"[u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",TRUE,,,,,
72.194.233.208,patched,US,NETBLK-OK-DSG-72-194-224-0,US,,"[u'CVE-2019-0708', u'CVE-2015-0204']",TRUE,,,,,
70.184.71.102,patched,US,NETBLK-OC-CBS-70-184-64-0,US,,[u'CVE-2019-0708'],TRUE,,,,,
107.21.240.66,vulnerable,US,AMAZON-EC2-8,US,,"[u'CVE-2008-1446', u'CVE-2009-2521', u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2009-3555', u'CVE-2008-0074', u'CVE-2010-1256']",TRUE,,,,,
130.156.111.26,vulnerable,US,NJEDGE-WARREN,US,,"[u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",TRUE,,,,,
205.134.187.221,patched,US,AINETWEB-BLK187,US,,[u'CVE-2019-0708'],TRUE,,,,,
107.148.154.182,offline,US,199-180-100-0-1,US,Windows Server 2008 R2 Standard 7601 Service Pack 1,"[u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",TRUE,,,,,
70.184.71.102,patched,US,NETBLK-OC-CBS-70-184-64-0,US,,[u'CVE-2019-0708'],TRUE,,,,,
107.21.240.66,vulnerable,US,AMAZON-EC2-8,US,,"[u'CVE-2008-1446', u'CVE-2009-2521', u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2009-3555', u'CVE-2008-0074', u'CVE-2010-1256']",TRUE,,,,,
130.156.111.26,vulnerable,US,NJEDGE-WARREN,US,,"[u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",TRUE,,,,,
205.134.187.221,patched,US,AINETWEB-BLK187,US,,[u'CVE-2019-0708'],TRUE,,,,,
107.148.154.182,offline,US,199-180-100-0-1,US,Windows Server 2008 R2 Standard 7601 Service Pack 1,"[u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",TRUE,,,,,
72.194.233.208,patched,US,NETBLK-OK-DSG-72-194-224-0,US,,"[u'CVE-2019-0708', u'CVE-2015-0204']",TRUE,,,,,
67.22.128.179,vulnerable,CA,NETBLK-1,CA,,[u'CVE-2019-0708'],TRUE,,,,,
204.12.211.37,patched,US,WII-204-12-211-33-47,US,,[u'CVE-2019-0708'],TRUE,,,,,
186.96.252.66,vulnerable,HN,,HN,,[u'CVE-2019-0708'],TRUE,,,,,
207.47.70.9,patched,US,NEXTWEB-207-47-70-0-27,US,,[u'CVE-2019-0708'],TRUE,,,,,
178.89.111.178,vulnerable,KZ,TOOSARMAT,KZ,,[u'CVE-2019-0708'],TRUE,,,,,
72.69.100.254,vulnerable,US,VIS-72-64,US,,[u'CVE-2019-0708'],TRUE,,,,,
196.41.36.6,patched,TZ,,TZ,,"[u'CVE-2017-7269', u'CVE-2009-4444', u'CVE-2003-1582', u'CVE-2005-2089', u'CVE-2007-2897', u'CVE-2019-0708', u'CVE-2006-0026', u'CVE-2009-2521', u'CVE-2008-1446', u'CVE-2009-1535', u'CVE-2005-2678', u'CVE-2008-0074', u'CVE-2008-0075', u'CVE-2010-1256', u'CVE-2009-3023', u'CVE-2007-1278', u'CVE-2003-0718', u'CVE-2010-1899']",TRUE,,,,,
80.169.143.50,vulnerable,GB,NET-IE-REGUS,IE,,[u'CVE-2019-0708'],TRUE,,,,,
183.158.133.18,offline,CN,CHINANET-ZJ-HZ,CN,,[u'CVE-2019-0708'],TRUE,,,,,
84.231.5.33,offline,FI,ELISA-MOBILE,FI,,[u'CVE-2019-0708'],TRUE,,,,,
132.232.121.216,offline,CN,TENCENT-CN,CN,,,FALSE,,,,,
37.224.99.119,vulnerable,SA,SA-STC-20120405,SA,MikroTik RouterOS 6.45.1,[u'CVE-2019-0708'],TRUE,,,,,
80.90.30.120,patched,LV,DG-MasterTelecom,,,,FALSE,,,,,
129.204.73.98,vulnerable,CN,TENCENT-CN,CN,,,FALSE,,,,,
168.255.10.253,offline,MX,,,,,FALSE,,,,,
92.85.210.18,patched,RO,Romtelecom,RO,,,FALSE,,,,,
190.0.141.170,vulnerable,UY,,UY,,[u'CVE-2019-0708'],TRUE,,,,,
79.122.154.85,patched,RU,ENFORTA-BGD,RU,,[u'CVE-2019-0708'],TRUE,,,,,
120.39.251.78,vulnerable,CN,CHINANET-FJ,CN,,"[u'CVE-2018-10549', u'CVE-2018-10548', u'CVE-2018-10545', u'CVE-2018-10547', u'CVE-2018-10546', u'CVE-2019-9024', u'CVE-2019-9638', u'CVE-2010-1256', u'CVE-2018-19520', u'CVE-2018-19396', u'CVE-2018-19395', u'CVE-2018-19935', u'CVE-2018-17082', u'CVE-2019-9639', u'CVE-2010-3972', u'CVE-2019-9021', u'CVE-2019-9637', u'CVE-2015-8994', u'CVE-2012-2531', u'CVE-2018-14883', u'CVE-2010-1899', u'CVE-2014-9767', u'CVE-2010-2730', u'CVE-2018-20783', u'CVE-2016-7478', u'CVE-2019-6977', u'CVE-2019-9023', u'CVE-2019-9020', u'CVE-2019-9641', u'CVE-2017-16642', u'CVE-2012-2532', u'CVE-2018-15132']",FALSE,,,,,
106.52.170.51,patched,CN,TencentCloud,CN,,,FALSE,,,,,
103.245.95.29,offline,SG,VODIEN-SG,SG,,,FALSE,,,,,
37.75.249.3,vulnerable,RU,SUSU-NET1,RU,,"[u'CVE-2008-1446', u'CVE-2009-2521', u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2009-3555', u'CVE-2008-0074', u'CVE-2010-1256']",TRUE,,,,,
45.40.201.201,vulnerable,CN,TENCENT-CN,CN,,,FALSE,,,,,
45.226.75.161,offline,BR,320411,,,,FALSE,,,,,
186.13.201.50,vulnerable,AR,,AR,,[u'CVE-2019-0708'],TRUE,,,,,
113.125.61.186,patched,CN,CHINANET-SD,CN,,,FALSE,,,,,
101.89.116.13,patched,CN,CHINANET-SH,,,,FALSE,,,,,
111.230.230.203,vulnerable,CN,TencentCloud,CN,,,FALSE,,,,,
211.151.213.110,patched,CN,CHINA-21VIANET,CN,,,FALSE,,,,,
106.12.117.194,patched,CN,Baidu,CN,,[u'CVE-2019-0708'],TRUE,,,,,
182.151.53.60,patched,CN,CHINANET-SC,CN,,,FALSE,,,,,
201.21.83.31,patched,BR,52422,,,,FALSE,,,,,
39.98.40.53,patched,CN,Cloud-Sense_DHCP,CN,,"[u'CVE-2018-15919', u'CVE-2017-15906']",FALSE,,,,,
40.83.179.219,offline,US,MSFT,US,,,FALSE,,,,,
52.53.187.57,vulnerable,US,AT-88-Z,US,,,FALSE,,,,,
118.89.159.168,offline,CN,TencentCloud,CN,,,FALSE,,,,,
62.234.129.158,offline,CN,TENCENT-CN,CN,,,FALSE,,,,,
218.90.122.194,patched,CN,CHINANET-JS,CN,,,FALSE,,,,,
185.125.47.180,vulnerable,RU,RU-ENTERPRISE-CLOUD-20151106,KZ,,,FALSE,,,,,
